vmstat 1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 173124 184364  29208 277380    0    0     0    20 1100  209 12  1 87  0  0
 2  0 228424 171528    248  46280    0 55304   888 55320 2196  599 12  2 86  0  0
 1  3 1386360 151640    248  13144 2944 1158072 23028 1158072 249319 2159 12  6 70 12  0
 1  3 1779428 180732    256  26684 1888 393220 12528 393228 45529 7493 10  5 64 22  0
 1  1 1188880 14629976    256  30048 2120    0  5884     0 2288 2410  5  6 74 15  0
 0  1 1188780 14656784    256  30696  880    0  1508     0 1014  396  0  0 89 11  0
 0  0 1187556 14642600    276  40000 13616    0 22932    16 1087 2169  0  0 94  6  0
 0  0 1187464 14638832    276  42520  908    0  3708     0  173  463  0  0 100  0  0
 0  0 1186308 14627676    276  49092 7644    0 14028     0  696 4002  1  0 96  2  0
 0  0 1184720 14609536    276  52980 13200    0 16684     8  793 3003  1  0 97  2  0
 0  0 1184232 14608156    276  53016 1228    0  1388     0  299 1232  1  0 99  0  0
 0  0 1184160 14608560    276  53100   32    0    32     0  235 1061  1  0 99  0  0
 0  0 1183668 14606188    284  53244 1968    0  2188    16  318 1376  1  0 99  0  0
 0  0 1183468 14605568    284  53424  672    0   700     0  239 1169  1  0 99  0  0
 0  0 1183464 14605412    284  53444    0    0     0     0  230 1063  1  0 99  0  0
 0  0 1183344 14604932    284  53388  352    0   400     8  216  957  0  0 99  0  0
 0  0 1179060 14594516    288  54816 8860    0 10044     0  671 2130  2  0 97  1  0
 0  0 1176760 14591772    304  54732 2736    0  3076     0  358 1014  1  0 99  0  0
 1  0 1176416 14590780    312  55076  352    0   496    16  306 1270  1  0 99  0  0
 0  0 1175816 14590128    312  55104  604    0   604     0  430 2214  2  0 98  0  0
 0  0 1175308 14589384    312  55092  608    0   608     0  285 1474  1  0 99  0  0
 0  0 1175196 14589260    312  55136    0    0     0     8  190  727  1  0 99  0  0
 0  0 1175192 14588904    312  55084    0    0     0     0  262 1209  1  0 99  0  0
 0  0 1175164 14588904    312  55084    0    0     0     0  229 1153  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 1175144 14588904    320  55088    0    0    16    16  272 1209  1  0 99  0  0
 0  0 1175144 14588780    320  55084   32    0    32     0  257 1151  1  0 99  0  0
 0  0 1175144 14586920    320  57068    0    0  1924     0  285 1293  1  0 99  0  0
 0  0 1173712 14585292    320  57128 1552    0  1552     0  480 1340  2  0 98  0  0
 1  0 1173524 14585136    320  57144  160    0   160     0  208  776  1  0 99  0  0
 0  0 1172240 14579912    328  57072 5024    0  5152    16  499 1429  2  0 98  0  0
 0  0 1170680 14578020    328  57176 1384    0  1384     0  519 1327  2  0 98  0  0
 0  0 1170088 14576408    328  57732  924    0  1388     0  313  868  1  0 97  1  0
 0  0 1167920 14574856    328  57700 1088    0  1088     0  481 1371  2  0 98  0  0
 0  1 1151976 14553344    328  57920 20320    0 20320     0 1191 3488  3  0 96  1  0
